  File "get_data.py", line 25
    da={}
        ^
TabError: inconsistent use of tabs and spaces in indentation
第106组成功	当前进度106/1806	 成功: 72 	 失败: 33
第107组成功	当前进度107/1806	 成功: 73 	 失败: 33
第108组成功	当前进度108/1806	 成功: 74 	 失败: 33
第109组失败	当前进度109/1806	 成功: 75 	 失败: 33
第110组失败	当前进度110/1806	 成功: 75 	 失败: 34
第111组失败	当前进度111/1806	 成功: 75 	 失败: 35
第112组失败	当前进度112/1806	 成功: 75 	 失败: 36
第113组失败	当前进度113/1806	 成功: 75 	 失败: 37
第114组失败	当前进度114/1806	 成功: 75 	 失败: 38
第115组失败	当前进度115/1806	 成功: 75 	 失败: 39
第116组失败	当前进度116/1806	 成功: 75 	 失败: 40
第117组失败	当前进度117/1806	 成功: 75 	 失败: 41
第118组失败	当前进度118/1806	 成功: 75 	 失败: 42
第119组失败	当前进度119/1806	 成功: 75 	 失败: 43
第120组失败	当前进度120/1806	 成功: 75 	 失败: 44
第121组失败	当前进度121/1806	 成功: 75 	 失败: 45
第122组失败	当前进度122/1806	 成功: 75 	 失败: 46
第123组失败	当前进度123/1806	 成功: 75 	 失败: 47
第124组失败	当前进度124/1806	 成功: 75 	 失败: 48
第125组成功	当前进度125/1806	 成功: 75 	 失败: 49
第126组成功	当前进度126/1806	 成功: 76 	 失败: 49
第127组失败	当前进度127/1806	 成功: 77 	 失败: 49
第128组失败	当前进度128/1806	 成功: 77 	 失败: 50
第129组失败	当前进度129/1806	 成功: 77 	 失败: 51
第130组失败	当前进度130/1806	 成功: 77 	 失败: 52
第131组失败	当前进度131/1806	 成功: 77 	 失败: 53
第132组失败	当前进度132/1806	 成功: 77 	 失败: 54
第133组失败	当前进度133/1806	 成功: 77 	 失败: 55
第134组失败	当前进度134/1806	 成功: 77 	 失败: 56
第135组失败	当前进度135/1806	 成功: 77 	 失败: 57
第136组失败	当前进度136/1806	 成功: 77 	 失败: 58
第137组失败	当前进度137/1806	 成功: 77 	 失败: 59
第138组失败	当前进度138/1806	 成功: 77 	 失败: 60
第139组失败	当前进度139/1806	 成功: 77 	 失败: 61
第140组失败	当前进度140/1806	 成功: 77 	 失败: 62
第141组失败	当前进度141/1806	 成功: 77 	 失败: 63
第142组失败	当前进度142/1806	 成功: 77 	 失败: 64
第143组失败	当前进度143/1806	 成功: 77 	 失败: 65
第144组失败	当前进度144/1806	 成功: 77 	 失败: 66
第145组成功	当前进度145/1806	 成功: 77 	 失败: 67
第146组成功	当前进度146/1806	 成功: 78 	 失败: 67
第147组成功	当前进度147/1806	 成功: 79 	 失败: 67
第148组失败	当前进度148/1806	 成功: 80 	 失败: 67
第149组成功	当前进度149/1806	 成功: 80 	 失败: 68
第150组失败	当前进度150/1806	 成功: 81 	 失败: 68
第151组成功	当前进度151/1806	 成功: 81 	 失败: 69
第152组成功	当前进度152/1806	 成功: 82 	 失败: 69
第153组失败	当前进度153/1806	 成功: 83 	 失败: 69
第154组失败	当前进度154/1806	 成功: 83 	 失败: 70
第155组失败	当前进度155/1806	 成功: 83 	 失败: 71
第156组失败	当前进度156/1806	 成功: 83 	 失败: 72
第157组失败	当前进度157/1806	 成功: 83 	 失败: 73
第158组失败	当前进度158/1806	 成功: 83 	 失败: 74
第159组失败	当前进度159/1806	 成功: 83 	 失败: 75
第160组成功	当前进度160/1806	 成功: 83 	 失败: 76
第161组成功	当前进度161/1806	 成功: 84 	 失败: 76
第162组失败	当前进度162/1806	 成功: 85 	 失败: 76
第163组成功	当前进度163/1806	 成功: 85 	 失败: 77
第164组失败	当前进度164/1806	 成功: 86 	 失败: 77
第165组失败	当前进度165/1806	 成功: 86 	 失败: 78
第166组成功	当前进度166/1806	 成功: 86 	 失败: 79
第167组失败	当前进度167/1806	 成功: 87 	 失败: 79
第168组失败	当前进度168/1806	 成功: 87 	 失败: 80
第169组成功	当前进度169/1806	 成功: 87 	 失败: 81
第170组失败	当前进度170/1806	 成功: 88 	 失败: 81
第171组失败	当前进度171/1806	 成功: 88 	 失败: 82
第172组失败	当前进度172/1806	 成功: 88 	 失败: 83
第173组失败	当前进度173/1806	 成功: 88 	 失败: 84
第174组成功	当前进度174/1806	 成功: 88 	 失败: 85
第175组失败	当前进度175/1806	 成功: 89 	 失败: 85
第176组失败	当前进度176/1806	 成功: 89 	 失败: 86
第177组失败	当前进度177/1806	 成功: 89 	 失败: 87
第178组失败	当前进度178/1806	 成功: 89 	 失败: 88
第179组失败	当前进度179/1806	 成功: 89 	 失败: 89
第180组失败	当前进度180/1806	 成功: 89 	 失败: 90
第181组失败	当前进度181/1806	 成功: 89 	 失败: 91
第182组失败	当前进度182/1806	 成功: 89 	 失败: 92
第183组失败	当前进度183/1806	 成功: 89 	 失败: 93
第184组失败	当前进度184/1806	 成功: 89 	 失败: 94
第185组失败	当前进度185/1806	 成功: 89 	 失败: 95
第186组失败	当前进度186/1806	 成功: 89 	 失败: 96
第187组失败	当前进度187/1806	 成功: 89 	 失败: 97
第188组失败	当前进度188/1806	 成功: 89 	 失败: 98
第189组失败	当前进度189/1806	 成功: 89 	 失败: 99
第190组成功	当前进度190/1806	 成功: 89 	 失败: 100
第191组失败	当前进度191/1806	 成功: 90 	 失败: 100
第192组失败	当前进度192/1806	 成功: 90 	 失败: 101
第193组成功	当前进度193/1806	 成功: 90 	 失败: 102
第194组成功	当前进度194/1806	 成功: 91 	 失败: 102
第195组失败	当前进度195/1806	 成功: 92 	 失败: 102
第196组失败	当前进度196/1806	 成功: 92 	 失败: 103
第197组失败	当前进度197/1806	 成功: 92 	 失败: 104
第198组成功	当前进度198/1806	 成功: 92 	 失败: 105
第199组失败	当前进度199/1806	 成功: 93 	 失败: 105
第200组失败	当前进度200/1806	 成功: 93 	 失败: 106
第201组失败	当前进度201/1806	 成功: 93 	 失败: 107
第202组成功	当前进度202/1806	 成功: 93 	 失败: 108
第203组失败	当前进度203/1806	 成功: 94 	 失败: 108
第204组成功	当前进度204/1806	 成功: 94 	 失败: 109
第205组成功	当前进度205/1806	 成功: 95 	 失败: 109
第206组成功	当前进度206/1806	 成功: 96 	 失败: 109
第207组成功	当前进度207/1806	 成功: 97 	 失败: 109
第208组成功	当前进度208/1806	 成功: 98 	 失败: 109
第209组成功	当前进度209/1806	 成功: 99 	 失败: 109
第210组失败	当前进度210/1806	 成功: 100 	 失败: 109
第211组失败	当前进度211/1806	 成功: 100 	 失败: 110
第212组失败	当前进度212/1806	 成功: 100 	 失败: 111
第213组失败	当前进度213/1806	 成功: 100 	 失败: 112
第214组失败	当前进度214/1806	 成功: 100 	 失败: 113
第215组失败	当前进度215/1806	 成功: 100 	 失败: 114
第216组成功	当前进度216/1806	 成功: 100 	 失败: 115
第217组成功	当前进度217/1806	 成功: 101 	 失败: 115
第218组失败	当前进度218/1806	 成功: 102 	 失败: 115
